Category,Difficulty,Name,Status,Link,Notes ( Fill in with your method to solve )
Arrays,easy,Contains Duplicate,,https://leetcode.com/problems/contains-duplicate/,"hashset to get unique values in array, to check for duplicates easily
"
Arrays,easy,Valid Anagram,,https://leetcode.com/problems/valid-anagram/,
Arrays,easy,Two Sum,,https://leetcode.com/problems/two-sum/,"use hash map to instantly check for difference value, map will add index of last occurrence of a num, don’t use same element twice;
"
Arrays,medium,Group Anagrams,,https://leetcode.com/problems/group-anagrams/,
Arrays,medium,Top K Frequent Elements,,https://leetcode.com/problems/top-k-frequent-elements/,
Arrays,medium,"Product of Array Except Self	
",,https://leetcode.com/problems/product-of-array-except-self/,
Arrays,medium,Valid Sudoku,,https://leetcode.com/problems/valid-sudoku/,
Arrays,medium,Encode and Decode Strings,,https://leetcode.com/accounts/login/?next=/problems/encode-and-decode-strings/,
Graph,hard,Longest Consecutive Sequence,,https://leetcode.com/problems/longest-consecutive-sequence/,
Two Pointers,easy,Valid Palindrome,,https://leetcode.com/problems/valid-palindrome/,
Two Pointers,medium,Two Sum II,,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,
Two Pointers,medium,3Sum,,https://leetcode.com/problems/3sum/,
Two Pointers,medium,Container with Most Water,,https://leetcode.com/problems/container-with-most-water/,
Two Pointers,hard,Trapping Rain Water,,https://leetcode.com/problems/trapping-rain-water/,
Sliding Window,easy,Best Time to Buy & Sell Stock,,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,
Sliding Window,medium,Longest Substring Without Repeating Characters,,https://leetcode.com/problems/longest-substring-without-repeating-characters/,
Sliding Window,medium,Longest Repeating Character Replacement,,https://leetcode.com/problems/longest-repeating-character-replacement/,
Sliding Window,medium,Permutation in String,,https://leetcode.com/problems/permutation-in-string/,
Sliding Window,hard,Minimum Window Substring,,https://leetcode.com/problems/minimum-window-substring/,
Sliding Window,hard,Sliding Window Maximum,,https://leetcode.com/problems/sliding-window-maximum/,
Stack,easy,Valid Parentheses,Completed,https://leetcode.com/problems/valid-parentheses/,"Use a stack to push open parentheses, if close parentheses is encountered then use a dictionary and check if it's a match, check edge cases, and empty queues, valid input and inputs where closing parentheses "
Stack,medium,Min Stack,,https://leetcode.com/problems/min-stack/,
Stack,medium,Evaluate Reverse Polish Notation,,https://leetcode.com/problems/evaluate-reverse-polish-notation/,
Stack,medium,Generate Parentheses,,https://leetcode.com/problems/generate-parentheses/,
Stack,medium,Daily Temperatures,,https://leetcode.com/problems/daily-temperatures/,
Stack,medium,Car Fleet,,https://leetcode.com/problems/car-fleet/,
Stack,hard,Largest Rectangle in Histogram,,https://leetcode.com/problems/largest-rectangle-in-histogram/,
Binary Search,easy,Binary Search,,https://leetcode.com/problems/binary-search/,
Binary Search,medium,Search a 2D Matrix,,https://leetcode.com/problems/search-a-2d-matrix/,
Binary Search,medium,Koko Eating Bananas,,https://leetcode.com/problems/koko-eating-bananas/,
Binary Search,medium,Search Rotated Sorted Array,,https://leetcode.com/problems/search-in-rotated-sorted-array/,
Binary Search,medium,Find Minimum in Rotated Sorted Array,,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,
Binary Search,medium,Time Based Key-Value Store,,https://leetcode.com/problems/time-based-key-value-store/,
Binary Search,hard,Find Median of Two Sorted Arrays,,https://leetcode.com/problems/median-of-two-sorted-arrays/,
Linked List,easy,Reverse Linked List,,https://leetcode.com/problems/reverse-linked-list/,
Linked List,easy,Merge Two Linked Lists,,https://leetcode.com/problems/merge-two-sorted-lists/,
Linked List,medium,Reorder List,,https://leetcode.com/problems/reorder-list/,
Linked List,medium,Remove Nth Node from End of List,,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,
Linked List,medium,Copy List with Random Pointer,,https://leetcode.com/problems/copy-list-with-random-pointer/,
Linked List,medium,Add Two Numbers,,https://leetcode.com/problems/add-two-numbers/,
